area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
1848,3782,2762,0.669080377,309.4629868,0,39.23430736,36.78950216,0.255519879,48.50718172,62.64982043,68.08393652,65.82380868,-1.37536517,166.8549784,235,1848,7.467048785,308348,522641,4552,378,375,370,344,231,99,51,0,0,0,80,15
1660,3306,2515,0.660039761,302.0487732,0,36.83373494,39.93433735,0.142789558,45.97366251,59.48108943,64.59558778,63.9336814,0.725761454,168.0825301,234,1660,7.365167484,279017,466120,4740,368,365,361,314,189,63,0,0,0,1,80,15
2176,3599,2694,0.807720861,286.7350647,0,39.91176471,43.23207721,0.299098109,52.63619714,62.16912417,63.59252052,60.68140531,0.944773038,162.2918199,234,2176,7.56811205,353147,534214,4224,346,336,334,332,316,248,160,71,33,2,80,15
1833,3720,2738,0.669466764,310.6345597,0,38.34642662,38.86524823,0.243992345,48.30991705,62.51399843,67.23786597,65.20574655,1.542092039,167.1102019,230,1833,7.544189993,306313,529310,4567,377,373,370,343,233,102,35,0,0,3,80,15
1817,3306,2538,0.715918046,291.0782105,0,40.31865713,44.31920748,0.142452795,48.09860968,59.22837158,63.57213909,62.92380479,0.607533238,175.7605944,240,1817,7.479078063,319357,509760,4583,352,350,350,343,251,130,41,0,0,4,80,15
1767,3364,2502,0.706235012,292.6345597,0,39.96095076,42.9286927,0.144960887,47.43220715,59.03388857,63.34235334,62.67329253,1.081064689,175.4544426,241,1767,7.461938344,310028,499631,4633,355,348,348,327,232,114,43,0,0,5,80,15
2122,3480,2649,0.801057003,285.3208512,-1,40.12158341,42.74929312,0.315533486,51.97897954,61.6116872,63.75447747,60.49754444,1.096903829,161.8246937,229,2122,7.527548617,343392,524235,4278,344,335,333,332,313,238,151,57,19,6,80,15
2201,3599,2662,0.826821938,278.2142495,-1,39.70286234,41.32212631,0.277636127,52.93770148,62.64183905,62.55258427,60.09341119,1.129290824,147.320309,212,2201,7.454664299,324252,491839,4199,336,328,328,328,317,252,190,84,38,7,80,15
2183,3721,2674,0.816379955,287.25588,0,39.64910673,41.97434723,0.269258969,52.72079216,62.36986452,62.90418044,60.58099132,0.995918038,154.7682089,217,2183,7.497349997,337859,520437,4217,351,332,330,329,321,253,167,72,28,8,80,15
1749,3481,2583,0.677119628,303.7056275,0,36.00857633,39.90108634,0.080080796,47.18999856,60.20797289,64.65769231,64.4500361,-1.104724981,163.7810177,233,1749,7.398095368,286453,466690,4651,371,364,356,340,224,94,0,0,0,9,80,15
1752,3363,2514,0.696897375,298.119841,0,40.01084475,43.65696347,0.205478299,47.23045291,59.8414572,63.56875481,62.21230388,-0.638227328,167.9708904,235,1752,7.444589053,294285,484387,4648,366,355,352,315,221,108,35,0,0,10,80,15
1816,3600,2709,0.670358066,310.0487732,0,39.46806167,41.67235683,0.222243958,48.08537213,61.84658438,67.24872907,65.56691156,-1.059066312,164.2907489,234,1816,7.503962851,298352,511587,4584,378,372,368,342,214,94,48,0,0,11,80,15
1763,3540,2660,0.662781955,305.7056275,0,40.03119682,40.96313103,0.142105097,47.37849003,61.40032573,66.29718597,65.62437398,-0.936314159,168.9364719,239,1763,7.482963364,297835,507898,4637,375,370,370,332,212,73,31,0,0,12,80,15
1727,3480,2604,0.663210445,304.6345597,0,39.87203243,41.60335843,0.182476387,46.89226689,60.40695324,65.64647075,64.544282,-1.347287891,172.1563405,242,1727,7.483251497,297314,503199,4673,371,364,362,322,199,75,34,0,0,13,80,15
1732,3599,2634,0.657555049,309.4629868,0,40.21535797,40.3221709,0.200944306,46.96009893,61.40032573,66.16097314,64.81146577,-1.236162486,174.2332564,240,1732,7.513742731,301772,516931,4668,376,371,366,325,200,94,0,0,0,14,80,15
1700,3364,2567,0.662251656,300.1492783,0,39.48235294,41.96235294,0.173949796,46.52426492,59.77457654,65.41324084,64.41598471,-0.659142358,176.3282353,243,1700,7.481059672,299758,508877,4700,364,364,362,324,197,61,28,0,0,15,80,15
1933,3843,2833,0.682315567,315.9482682,0,39.58613554,40.28815313,0.314667553,49.61020097,63.63961031,69.2382323,65.72106473,-1.046475854,160.0512157,225,1933,7.441715594,309379,538353,4467,385,379,375,359,264,121,50,0,0,16,80,15
1955,3420,2600,0.751923077,291.7350647,0,40.06547315,39.2056266,0.24207569,49.89171584,60.29925373,63.6595884,61.7661847,1.525012045,166.9017903,233,1955,7.535770315,326293,509009,4445,353,345,344,341,275,191,82,24,0,17,80,15
1725,3481,2630,0.655893536,306.391919,0,34.34434783,40.0226087,0.190384551,46.86510658,60.20797289,66.53348765,65.31656301,-1.242158014,176.8353623,241,1725,7.423591239,305041,515963,4675,371,369,368,335,199,63,20,0,0,18,80,15
1782,3363,2532,0.703791469,291.8061325,0,40.35746352,40.07239057,0.24298029,47.63310686,59.53990259,64.01540342,62.09694024,1.302617564,179.687991,247,1782,7.535243573,320204,517046,4618,354,348,345,316,242,125,52,0,0,19,80,15
1775,3364,2564,0.692277691,291.5634919,0,39.81521127,39.5943662,0.140125035,47.53945931,59.9082632,64.6285191,63.99088227,1.293707591,186.623662,253,1775,7.45715102,331257,529201,4625,355,353,352,334,227,111,43,0,0,20,80,15
1782,3364,2553,0.69800235,292.6345597,0,38.83838384,41.01907969,0.156260586,47.63310686,59.66573556,64.3569738,63.56640402,1.508354418,187.1487093,252,1782,7.451685964,333499,527576,4618,359,356,354,334,223,111,45,0,0,21,80,15
1771,3481,2585,0.685106383,296.6345597,0,39.24788255,41.75832863,0.154647712,47.48586351,60.01666435,64.91729316,64.13631723,0.801463443,183.7442123,249,1771,7.413895511,325411,515176,4629,362,359,357,323,218,107,45,0,0,22,80,15
2191,3717,2699,0.811782142,293.7350647,0,40.07485167,38.8224555,0.308178669,52.81730628,63.28506933,63.24384755,60.1656744,1.300513156,140.731173,206,2192,7.38252676,308435,463923,4208,360,336,332,329,298,240,181,80,36,23,80,15
