area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
1104,1739,1288,0.857142857,168.0243866,-1,39.54076087,39.75634058,0.75731469,37.49208526,50.56678752,46.87195833,30.60973806,-0.503383122,77.25362319,127,1106,5.867727874,85385,166125,5499,155,127,116,106,97,85,72,64,79,0,80,6
833,1122,876,0.950913242,111.5685425,1,39.60504202,40.41296519,0.200411372,32.56698544,34.71310992,32.947994,32.27953971,0.421780283,131.3277311,192,833,5.377331277,109396,180272,5702,121,106,96,88,77,68,57,41,44,1,80,6
652,960,690,0.944927536,100.3969696,1,39.84355828,39.66411043,0.279793072,28.81236164,32.24903099,29.50914844,28.33056278,-0.754310885,111.9539877,192,652,5.066289028,72994,130035,5748,122,106,94,84,74,64,49,33,26,2,80,6
646,900,685,0.943065693,100.9116882,1,40.43498452,39.79876161,0.204543407,28.67948301,31.04834939,29.07241676,28.45775303,-0.304574805,123.7724458,195,646,5.955518404,79957,211283,5754,121,106,94,80,72,61,48,34,30,3,80,6
1488,2025,1565,0.950798722,157.6101731,1,39.81048387,40.21975806,0.18169129,43.52677845,45.88027899,43.95260105,43.22103725,1.111170076,96.80712366,157,1488,6.112730316,144049,232527,5101,317,144,252,112,193,149,54,67,11,4,80,6
1117,1558,1208,0.924668874,144.9888527,0,39.85765443,39.76365264,0.382030504,37.71218068,42.72001873,39.37004801,36.38381862,1.279130303,100.4216652,154,1117,5.864145762,112171,196329,5459,138,245,105,94,157,63,94,30,15,5,80,6
849,1188,894,0.94966443,112.8111832,1,40.33804476,40.18845701,0.373160363,32.87826597,36.22154055,34.17720658,31.70847958,1.43617403,133.8138987,198,849,5.596800131,113608,190247,5684,120,109,99,88,150,57,44,32,17,6,80,6
813,1190,909,0.894389439,126.7756493,1,39.78720787,39.64575646,0.555580946,32.17364993,38.47076812,35.5166146,29.53073155,-0.696472405,88.89544895,149,814,5.482914683,72325,134025,5737,124,106,94,86,76,61,51,38,27,7,80,6
952,1332,1019,0.934249264,124.2253967,1,40.0052521,40.39810924,0.289622506,34.8155719,37.48332963,35.67243149,34.14354508,0.141382035,110.769958,180,952,5.572549579,105453,177901,5596,130,116,106,97,160,64,54,41,36,8,80,6
979,1406,1033,0.947725073,122.7106781,1,39.68028601,39.73646578,0.362022665,35.30582833,38.63935817,36.66762023,34.18042961,0.760860356,100.8375894,161,979,5.458062704,98720,163917,5571,132,120,108,100,170,67,55,39,38,9,80,6
