area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
1954,3968,2906,0.672401927,323.4629868,0,34.23234391,41.6136131,0.353804843,49.87895418,64.77653896,70.12600803,65.59020649,-1.207495952,146.1125896,210,2073,7.442338425,300668,535475,4327,420,408,401,349,265,164,66,0,0,0,80,15
2880,4757,3563,0.808307606,373.3980156,0,36.32986111,40.60590278,0.430689917,60.55518053,72.18032973,73.58300421,66.40865908,-1.248064673,126.2840278,194,2883,7.366327246,363983,549122,3964,401,380,370,362,320,267,199,103,34,1,80,15
2828,4964,3748,0.754535752,393.9188309,-2,31.54561528,43.32390382,0.633020155,60.00601164,84.50443775,83.54232774,64.67306604,-0.734114863,129.4466054,207,2828,7.450492166,366075,540139,3996,382,383,765,340,260,187,39,24,24,2,80,15
2960,5040,3669,0.806759335,383.5401513,-1,39.80472973,34.81993243,0.395652141,61.39046386,72.83543094,73.31763569,67.33494947,-1.182366387,123.2314189,196,2961,7.335507081,364855,543228,3898,393,390,383,374,553,209,126,44,30,3,80,15
2439,4288,3211,0.759576456,350.8477631,0,36.21812218,40.95407954,0.397445993,55.72639635,68.24954212,71.89984553,65.97713657,-1.210036595,134.4551046,205,2443,7.4341653,328322,524941,3957,420,386,378,374,358,273,180,74,0,4,80,15
2311,4158,3106,0.744043786,335.5401513,-1,35.71008222,40.14322804,0.377991567,54.24441527,66.91038783,70.70379175,65.45820945,-1.211961392,130.3405452,209,2311,7.379013859,301217,482935,4089,409,379,372,371,323,246,140,51,20,5,80,15
2375,3844,2781,0.854009349,289.9777054,-1,40.00715789,42.98652632,0.274028208,54.99039842,62.64982043,62.86963798,60.46309227,1.44393831,126.1886316,182,2375,7.275833731,299698,429867,4374,332,327,324,321,272,194,159,58,39,6,80,15
2054,3906,2906,0.706813489,316.2914139,0,39.53894839,40.70399221,0.366553934,51.13935886,64.13267498,69.99218612,65.12050629,-1.089233179,147.0764362,214,2054,7.41215602,302095,515542,4346,384,377,374,353,270,180,89,27,0,7,80,15
2275,3721,2694,0.844469191,279.2203461,0,39.73934066,40.96879121,0.196445182,53.82025608,61.81423784,61.78588352,60.58197378,-1.475578078,141.6254945,204,2275,7.436030849,322198,488587,4468,330,328,326,314,247,195,131,44,17,8,80,15
2976,4830,3632,0.81938326,395.0904038,-3,41.65793011,32.50403226,0.376884228,61.55616042,70.88018059,72.84672408,67.47503383,-1.140402362,124.6300403,193,2977,7.370931841,370989,544150,3884,381,369,368,370,573,212,136,68,39,9,80,15
2148,4032,3009,0.713858425,325.8416665,0,38.66014898,36.8244879,0.346345853,52.29644866,65.30696747,70.3472435,65.99323432,-1.093855083,140.994879,209,2149,7.402903698,302955,508025,4251,396,384,379,366,292,204,96,32,0,10,80,15
2062,4030,2958,0.69709263,329.5340546,-1,36.52327837,40.80164888,0.359709778,51.23885187,65.49045732,70.05651374,65.36722774,-1.14239024,143.3632396,214,2065,7.435243595,295919,499889,4335,400,377,371,353,264,182,85,33,0,11,80,15
2534,4485,3333,0.760276028,343.6406563,0,36.97079716,39.48697711,0.422675632,56.80131166,69.58448103,73.10220225,66.25113936,-1.168802832,129.4052881,202,2537,7.390770181,328199,521647,3863,418,387,380,380,343,257,209,111,52,12,80,15
2412,4288,3181,0.758252122,335.5695885,0,38.73383085,36.58499171,0.380075743,55.41708926,68.0661443,71.08456417,65.75004909,-1.167974368,130.5045605,201,2412,7.407415676,314777,491075,3988,405,382,374,370,342,254,172,84,29,13,80,15
2097,4030,2961,0.708206687,336.8122292,-1,35.88268956,40.53552694,0.328821722,51.67188138,65.49045732,69.71243149,65.83586354,-1.106327273,140.130186,217,2097,7.425066821,293853,484898,4303,407,383,374,366,280,176,83,28,0,14,80,15
2251,3720,2673,0.842124953,279.1848122,0,40.44913372,42.55308752,0.255340494,53.53561632,62.96824597,61.93067884,59.87775082,1.308484408,141.4682363,201,2251,7.399899767,318445,472254,4149,344,328,323,322,308,242,194,134,56,15,80,15
