area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
1190,1849,1388,0.857348703,194.1665222,-1,40.48151261,39.8210084,0.296493034,38.92499272,44.92215489,44.67198415,42.66330907,0.750181458,153.1445378,235,1190,6.409389288,182242,289809,5210,233,230,229,222,174,102,0,0,0,0,80,10
1284,1935,1425,0.901052632,179.8233765,0,40.11370717,40.05218069,0.3303279,40.43314946,45.27692569,44.67979282,42.17174804,1.07009178,171.7764798,255,1284,6.444209757,220561,333329,5116,221,218,216,216,182,137,94,0,0,1,80,10
1047,1640,1276,0.820532915,202.6518036,0,39.91690544,40.12129895,0.110715003,36.51139279,41.97618372,42.44309128,42.18215948,1.272795873,156.0735435,229,1047,6.224206888,163409,264081,5353,245,232,228,211,101,30,0,0,0,2,80,10
1268,1936,1446,0.876901798,190.6162697,0,40.17192429,39.72318612,0.241200809,40.1804398,45.12205669,43.91503314,42.61845183,1.400233477,168.194795,255,1268,6.504150414,213271,329824,5132,231,222,220,217,178,127,57,16,0,3,80,10
1541,2162,1633,0.943661972,159.2670273,1,40.40493186,40.27579494,0.243792331,44.2951706,47.67598976,45.0630435,43.70337695,1.020205944,167.9695003,251,1541,6.782241277,258841,368476,5049,169,308,138,244,106,180,68,101,37,4,80,10
1682,2256,1753,0.959498003,161.7817459,1,40.02021403,40.39239001,0.257521169,46.27730453,49.04079934,47.12774701,45.53825332,1.46092094,146.0107015,218,1682,6.663552196,245590,341623,4911,337,154,284,127,220,176,64,95,32,5,80,10
1518,2116,1616,0.939356436,170.2314934,-1,40.27272727,40.25230567,0.297904071,43.9633669,47.5394573,45.26588075,43.2106202,1.063317712,165.9018445,255,1518,6.616199444,251839,357196,5087,190,188,186,184,175,153,122,75,40,6,80,10
1560,2116,1624,0.960591133,161.4030663,0,40.43846154,39.95384615,0.273474105,44.56740614,47.5394573,45.53815102,43.80220781,1.097538626,165.95,255,1560,6.625454059,258882,359785,5032,175,311,140,246,108,181,73,102,32,7,80,10
2065,2862,2164,0.954251386,199.9949494,-1,39.45181598,40.16707022,0.22671687,51.27611198,54.5710546,52.1511404,50.79316163,-0.090440067,169.0096852,255,2065,7.262482561,349005,470869,4577,223,216,425,209,207,353,103,60,27,8,80,10
1691,2256,1748,0.967391304,156.9533188,1,39.54583087,39.59491425,0.320819882,46.40094902,49.47726751,47.7136816,45.19154705,1.519874003,153.4435245,224,1691,6.711800146,259473,358951,4895,340,157,283,127,223,178,70,95,32,9,80,10
1292,1935,1469,0.879509871,201.3086579,-1,39.77399381,40.15712074,0.172141326,40.55891384,45.70557953,43.48212205,42.83303237,1.335195455,145.3839009,247,1295,6.414306817,188095,286382,5105,247,219,217,213,201,135,63,0,0,10,80,10
1304,1932,1450,0.899310345,182.7167748,-1,39.97315951,40.17331288,0.429243523,40.74683259,46.5295605,44.42129421,40.12081516,1.379862808,161.5115031,255,1306,6.333170747,210795,309885,5094,219,203,199,195,190,151,102,47,0,11,80,10
1691,2400,1779,0.950534008,167.6812409,1,40.15375517,40.42223536,0.369126307,46.40094902,50.99019514,48.2553288,44.84750075,1.020133155,139.9438202,214,1691,6.581078238,236645,325550,4912,348,158,283,126,217,169,66,94,27,12,80,10
1578,2112,1642,0.961023143,154.1248917,1,39.71989861,40.26235741,0.383358382,44.82378834,48.66210024,46.72644212,43.15652655,1.411876687,162.9619772,255,1578,6.617443929,257154,348977,5005,332,153,273,119,208,160,61,77,12,13,80,10
1400,1980,1501,0.932711526,183.9949494,-2,40.18928571,40.08785714,0.297769538,42.22008246,46.32493929,43.91424641,41.92219897,0.949873201,158.2414286,255,1400,6.635822622,221538,326158,5000,223,208,203,202,201,180,135,48,0,14,80,10
1651,2256,1727,0.955993052,161.2670273,1,40.20896426,40.21017565,0.325452604,45.84886573,49.47726751,47.20605935,44.63608382,1.567943188,137.7758934,211,1651,6.535899856,227468,314197,4945,337,154,280,125,217,166,61,86,29,15,80,10
1360,1936,1472,0.923913043,189.5452019,-2,40.76176471,39.90661765,0.33884994,41.61256758,45.88027899,44.38808739,41.7621073,0.899662533,160.2683824,246,1364,6.546069563,218339,332217,5036,235,208,203,201,193,151,108,65,0,16,80,10
1142,1806,1387,0.823359769,210.5452019,0,39.7530648,40.03152364,0.248304804,38.13187066,44.14748011,44.76485748,43.36290952,-1.333091122,150.6584939,235,1142,6.46630312,172052,285932,5258,250,237,235,219,133,68,0,0,0,17,80,10
1603,2208,1679,0.954734961,163.1309883,-1,39.7592015,39.68059888,0.256722767,45.17746109,49.03060269,46.02344152,44.48096982,1.286220523,166.5658141,249,1603,6.888802807,267005,383268,4997,176,315,144,247,109,181,75,110,46,18,80,10
1539,2162,1631,0.943592888,183.1309883,0,40.28395062,40.04938272,0.304864778,44.26641683,47.67598976,46.11673423,43.9213769,1.195478002,164.4808317,255,1539,6.857582131,253136,377143,4861,220,208,206,204,204,196,149,99,53,19,80,10
1660,2256,1715,0.967930029,154.9533188,1,39.91807229,39.97951807,0.306745958,45.97366251,49.47726751,47.18349082,44.90884198,1.520271021,162.5590361,243,1660,6.728332355,269848,373826,4924,340,157,284,127,221,170,64,86,27,20,80,10
