area,bbox_area,convex_area,solidity,perimeter,euler_number,centroid-0,centroid-1,eccentricity,equivalent_diameter,feret_diameter_max,major_axis_length,minor_axis_length,orientation,mean_intensity,max_intensity,total_area,entropy,obj_intensity_sum,total_intensity_sum,distance_bin_0,distance_bin_1,distance_bin_2,distance_bin_3,distance_bin_4,distance_bin_5,distance_bin_6,distance_bin_7,distance_bin_8,distance_bin_9,patchID,patchsize,object_size
2409,5200,3938,0.611731844,691.2985566,-19,40.25529265,45.91739311,0.81061654,55.38261517,94.40338977,85.6535419,50.15677357,-1.210388085,80.8796181,128,2658,6.038107907,212961,414446,3742,1036,528,355,242,158,120,92,127,0,41,80,0
2457,2960,2876,0.854311544,403.8000359,-12,63.70573871,40.74643875,0.916100056,55.9316508,86.92525525,92.40860379,37.05120484,-1.523587062,20.30769231,36,2766,4.168730381,56057,99853,4553,411,311,295,248,246,136,98,66,36,42,80,0
3046,5120,4356,0.699265381,851.2285348,-35,39.8916612,41.48588313,0.810515717,62.27589946,91.30169768,88.18601899,51.65204058,1.501712191,80.28857518,121,3262,5.590419155,260640,441494,4388,729,452,270,211,144,90,58,37,21,43,80,0
1757,4278,3081,0.570269393,677.5056634,-17,42.9846329,35.04439385,0.801951458,47.29779995,78.24321057,75.50516094,45.10596787,-0.955455549,48.00796813,88,2031,5.377404067,95809,199543,5472,348,189,113,78,60,49,40,32,19,44,80,0
2605,4216,3285,0.792998478,475.8244225,-21,41.86909789,50.7428023,0.744084103,57.59157069,81.54140053,75.2574559,50.27844953,1.233641561,67.93857965,110,2661,6.102310511,180108,294960,4342,387,568,247,179,292,116,193,59,17,45,80,0
2677,5760,4452,0.601302785,774.7604974,-27,42.25663056,38.59805753,0.872357944,58.38203715,100.6031809,94.95267966,46.41929715,1.2937386,81.03436683,138,2915,6.237717311,233793,394632,4594,586,373,269,215,147,98,61,37,20,46,80,0
1924,4030,2887,0.666435746,477.4751801,-17,40.06340956,26.12837838,0.670237025,49.49457429,68.9492567,63.23178443,46.92728594,1.225256953,83.25883576,138,2539,6.308404886,204193,373894,4820,481,315,208,166,228,67,47,35,33,47,80,0
3172,6000,4818,0.658364467,923.8143212,-37,40.27805801,43.33291299,0.782638043,63.5508917,103.7111373,93.24222134,58.04114401,-1.241331888,152.3568726,251,3310,6.937064887,502422,815523,3090,1227,643,444,321,254,157,118,92,54,48,80,0
3096,5040,4769,0.649192703,805.2813127,-34,42.24903101,39.47674419,0.811594103,62.78494748,90.97252332,91.97778149,53.73541723,1.518159614,158.6834625,255,3232,6.933480178,510490,851756,4259,604,425,576,168,119,144,42,32,31,49,80,0
2802,4830,3863,0.725342998,559.6944802,-13,33.45788722,52.70235546,0.640444377,59.72953377,82.21921916,73.52983739,56.47125021,-0.69936399,133.2637402,251,3077,6.83752783,406070,684214,4164,505,396,307,278,243,184,143,84,96,50,80,0
437,1645,1035,0.422222222,266.5868325,-8,18.33180778,64.28375286,0.902377717,23.58825303,55,56.81426361,24.48387973,0.70317566,7.691075515,79,1815,2.883244389,14148,33971,4585,1585,230,0,0,0,0,0,0,0,51,80,0
316,1131,801,0.394506866,223.9533188,-1,45.99050633,14.38291139,0.803283457,20.05850683,40.26164428,38.43904255,22.89417524,1.163325801,7.753164557,42,1796,2.511584518,13994,37557,4604,1550,214,32,0,0,0,0,0,0,52,80,0
2867,5920,4528,0.633171378,970.648845,-33,42.291594,34.3125218,0.793273433,60.41835627,99.40321926,91.17077369,55.5107434,-1.160402577,76.72758982,128,3148,6.199266653,239137,383222,3252,1428,700,379,219,162,127,76,57,0,53,80,0
2760,6080,4903,0.562920661,916.1930009,-40,38.55688406,40.45181159,0.842170908,59.28019183,102.9417311,100.2142306,54.03658383,1.028328345,108.3818841,182,2939,6.579636418,316264,546943,3461,1256,634,389,269,201,112,52,26,0,54,80,0
2872,5440,4000,0.718,686.9493142,-28,35.80188022,46.26114206,0.881563069,60.47101762,102.3034701,98.60690491,46.54899291,-1.002821464,91.67862117,161,2947,6.549821778,268965,429784,4302,483,664,237,346,118,162,24,36,28,55,80,0
2593,5226,3642,0.711971444,632.7066735,-30,37.12726572,48.93790976,0.852514253,57.45876904,92.65527508,88.8878901,46.46205372,-1.138421586,78.18357115,150,2693,6.425565384,209198,346045,4545,493,526,177,268,94,133,55,75,34,56,80,0
3041,5120,4173,0.728732327,745.51176,-32,40.69352187,36.89838869,0.781988692,62.22476561,87.7268488,86.41944175,53.86459993,1.559747864,61.9756659,92,3204,5.689387234,197458,328126,4246,578,382,309,251,217,187,121,64,45,57,80,0
162,380,279,0.580645161,97.76955262,0,51.25925926,7.839506173,0.372080107,14.36192209,21.9317122,18.69133148,17.3493055,1.39192439,3.462962963,48,1635,2.211006485,5750,11745,4765,1444,191,0,0,0,0,0,0,0,58,80,0
350,1462,908,0.385462555,220.0304833,-2,39.28,56.80571429,0.877020387,21.11004123,47.01063709,51.99908722,24.98312586,1.065426429,7.882857143,39,2197,3.051637218,17764,37226,4203,1878,319,0,0,0,0,0,0,0,59,80,0
